name,price,first_name,last_name,above_100
William Dixon,109.03728,William,Dixon,True
Kristen Horn,262.52466,Kristen,Horn,True
Kimberly Chang,187.00726,Kimberly,Chang,True
Mary Ball,283.17465,Mary,Ball,True
Benjamin Craig,143.87158,Benjamin,Craig,True
Cathy Werner,61.50899,Cathy,Werner,False
Brandon Bell,48.63731,Brandon,Bell,False
Paul Farley,12.389464,Paul,Farley,False
Sarah Mcdaniel,151.59544,Sarah,Mcdaniel,True
Caroline Anderson,75.62152,Caroline,Anderson,False
Carl Jones,147.0294,Carl,Jones,True
Scott Lee,244.18565,Scott,Lee,True
Kaylee Coleman,17.864271,Kaylee,Coleman,False
Charles Parker,215.53728,Charles,Parker,True
Susan Hess,38.35997,Susan,Hess,False
Kiara Collier,204.18256,Kiara,Collier,True
Mr. Scott Martinez,165.85143,Scott,Martinez,True
Christopher Ortega,30.301445,Christopher,Ortega,False
Michael Russell,243.17249,Michael,Russell,True
Dwayne Johnson,287.4933,Dwayne,Johnson,True
Patty Smith,180.23442,Patty,Smith,True
Deanna Sherman,99.79912,Deanna,Sherman,False
Douglas Francis,161.76889,Douglas,Francis,True
Vicki Diaz,18.649878,Vicki,Diaz,False
Robin Phillips,244.91199,Robin,Phillips,True
Travis Rice,141.49883,Travis,Rice,True
Ashley Rocha,50.003036,Ashley,Rocha,False
Sarah Jacobson,80.48183,Sarah,Jacobson,False
Kayla Shannon,98.91531,Kayla,Shannon,False
Sean Wang DDS,220.62822,Sean,Wang,True
Richard Estrada,49.16869,Richard,Estrada,False
Joseph Torres,150.12378,Joseph,Torres,True
Kim Jones,18.843437,Kim,Jones,False
Melissa Tanner,269.18402,Melissa,Tanner,True
Jackson Cline,64.312515,Jackson,Cline,False
Sonya Foster,296.2155,Sonya,Foster,True
Allen Williams,15.390832,Allen,Williams,False
Mr. Thomas Rivera,95.22844,Thomas,Rivera,False
Jamie Silva,296.8244,Jamie,Silva,True
Kathleen Moore,92.50053,Kathleen,Moore,False
Evelyn Pineda,169.22893,Evelyn,Pineda,True
Kyle Peters,106.799095,Kyle,Peters,True
Anthony Cruz,49.101997,Anthony,Cruz,False
Eric Flores,122.955696,Eric,Flores,True
Anna Richardson,254.49525,Anna,Richardson,True
Gary Harper,47.596527,Gary,Harper,False
Linda Johnson,115.36278,Linda,Johnson,True
Melissa Smith,87.97995,Melissa,Smith,False
Kristen Floyd,135.02304,Kristen,Floyd,True
William Diaz,192.14914,William,Diaz,True
Benjamin Smith,134.90529,Benjamin,Smith,True
David Glenn,216.29105,David,Glenn,True
Dawn Jones,271.6145,Dawn,Jones,True
Joel Smith,14.49492,Joel,Smith,False
Mr. Larry Grimes MD,268.67587,Larry,Grimes,True
Joseph Arnold,121.77505,Joseph,Arnold,True
Kyle Long,241.62164,Kyle,Long,True
Brittany Day,261.54605,Brittany,Day,True
Bobby Ward,63.513035,Bobby,Ward,False
Thomas Lee,254.07558,Thomas,Lee,True
Jennifer Hansen,101.48874,Jennifer,Hansen,True
Lisa Murray,176.09192,Lisa,Murray,True
Meghan Wade,273.23035,Meghan,Wade,True
Tammie Brooks,84.88857,Tammie,Brooks,False
Maria Bell,264.07468,Maria,Bell,True
Allison Livingston,130.34845,Allison,Livingston,True
Chris Hays,17.342764,Chris,Hays,False
Courtney Mitchell,78.93258,Courtney,Mitchell,False
Shawn White,188.02193,Shawn,White,True
Taylor Gomez,225.01982,Taylor,Gomez,True
Jeremy Rodriguez,200.72482,Jeremy,Rodriguez,True
April Garcia,66.24556,April,Garcia,False
Zachary Watts,15.497388,Zachary,Watts,False
Sarah Montoya,206.82126,Sarah,Montoya,True
Jennifer Barker,89.18616,Jennifer,Barker,False
Sharon Garza,72.35773,Sharon,Garza,False
Tiffany Stevens,196.37932,Tiffany,Stevens,True
Ruben Armstrong,93.698364,Ruben,Armstrong,False
Dr. Jeffrey Spencer,271.1623,Jeffrey,Spencer,True
Nicole Ramsey,247.8596,Nicole,Ramsey,True
Anne Roy,277.9325,Anne,Roy,True
Lori Sanchez,285.66165,Lori,Sanchez,True
Allison Chavez,126.85021,Allison,Chavez,True
Marcus Adams,36.47041,Marcus,Adams,False
Mary Smith,16.315071,Mary,Smith,False
Joseph Reed,178.45767,Joseph,Reed,True
Jason Armstrong,26.045258,Jason,Armstrong,False
Jeff Armstrong,88.47562,Jeff,Armstrong,False
Sean Shields,247.83952,Sean,Shields,True
Jessica Allison,104.74231,Jessica,Allison,True
Christian Grant,99.11708,Christian,Grant,False
Edward Watson,180.35356,Edward,Watson,True
Derrick Cooke,142.09012,Derrick,Cooke,True
Arthur Hall MD,235.96698,Arthur,Hall,True
Sean Patrick,139.4508,Sean,Patrick,True
Heather Collins,127.39257,Heather,Collins,True
Megan Gomez,107.86244,Megan,Gomez,True
William Hale,114.67093,William,Hale,True
Olivia Thompson,8.608441,Olivia,Thompson,False
Lori Torres,18.858274,Lori,Torres,False
Vickie Hernandez,214.93217,Vickie,Hernandez,True
Kimberly Brown,40.31993,Kimberly,Brown,False
Sherry Meza,182.85455,Sherry,Meza,True
Phillip Hansen,44.116116,Phillip,Hansen,False
Jeanette Knight,28.686943,Jeanette,Knight,False
Kayla Hanson,27.630363,Kayla,Hanson,False
James Johnston,284.42905,James,Johnston,True
Dr. John Porter,53.727993,John,Porter,False
Elizabeth Reyes,93.680756,Elizabeth,Reyes,False
Kristen Henry,77.00624,Kristen,Henry,False
Claudia Anderson,160.34016,Claudia,Anderson,True
Nicholas Webb,18.710386,Nicholas,Webb,False
Allison Cooper,206.04211,Allison,Cooper,True
Zachary Barnes,280.77414,Zachary,Barnes,True
Gregory Hill III,265.9766,Gregory Hill,III,True
Terry Ayers,16.511639,Terry,Ayers,False
Jessica Wilson,290.40955,Jessica,Wilson,True
Daniel Frazier,190.3292,Daniel,Frazier,True
Brian Welch,218.2505,Brian,Welch,True
Carol Chavez,123.18344,Carol,Chavez,True
Ethan Mcdonald,214.35031,Ethan,Mcdonald,True
Gerald Martinez,57.547863,Gerald,Martinez,False
Eric King,59.879265,Eric,King,False
Sylvia Walters,110.94631,Sylvia,Walters,True
Jonathan Lane,64.4671,Jonathan,Lane,False
Matthew Turner,180.26286,Matthew,Turner,True
Jeffrey Bauer,30.515842,Jeffrey,Bauer,False
Jessica Shaffer,54.901936,Jessica,Shaffer,False
Chris Spencer,251.37529,Chris,Spencer,True
Mary Clarke,236.053,Mary,Clarke,True
Timothy Mendoza,105.98348,Timothy,Mendoza,True
Alicia Hoffman,182.3437,Alicia,Hoffman,True
Joseph Gardner,144.80913,Joseph,Gardner,True
Rachael Rangel,297.94965,Rachael,Rangel,True
Jeffrey Harrington,194.27164,Jeffrey,Harrington,True
Sophia Randolph,158.54312,Sophia,Randolph,True
Debbie Freeman,275.87192,Debbie,Freeman,True
Matthew Braun,201.77496,Matthew,Braun,True
Sheri Hudson,268.37485,Sheri,Hudson,True
Mary King,204.07858,Mary,King,True
Beth Davis,155.06807,Beth,Davis,True
Margaret Castillo,193.90633,Margaret,Castillo,True
Tommy Sandoval,172.28304,Tommy,Sandoval,True
Christopher Hines,46.55435,Christopher,Hines,False
Richard Wright,208.3597,Richard,Wright,True
Michael Brown,278.5231,Michael,Brown,True
Nathan Yu,134.18951,Nathan,Yu,True
Cameron Ford,248.89214,Cameron,Ford,True
Carla Hayes,265.37457,Carla,Hayes,True
Marissa Matthews,136.09258,Marissa,Matthews,True
Dr. Samuel Thompson,237.15924,Samuel,Thompson,True
Gary Figueroa,168.94476,Gary,Figueroa,True
Michael West,146.88869,Michael,West,True
Martin Walton,140.34006,Martin,Walton,True
Zachary Lee,8.667301,Zachary,Lee,False
Christopher Stephenson,67.011856,Christopher,Stephenson,False
Eric Ortiz,117.72424,Eric,Ortiz,True
Kara Pittman,56.239643,Kara,Pittman,False
Andrew Cowan,295.93918,Andrew,Cowan,True
Rhonda Moss DDS,259.03976,Rhonda,Moss,True
Sarah Williams,92.82628,Sarah,Williams,False
Carolyn Collins,236.24728,Carolyn,Collins,True
Larry Mooney,135.27017,Larry,Mooney,True
Laura Livingston,294.25806,Laura,Livingston,True
Candace Mckenzie,84.58146,Candace,Mckenzie,False
Candace Wallace,124.74645,Candace,Wallace,True
Jason White,218.43181,Jason,White,True
Patricia Reynolds,89.011765,Patricia,Reynolds,False
Michael Ellison,244.47171,Michael,Ellison,True
Melissa Robles,238.4561,Melissa,Robles,True
Heidi Fry,109.62647,Heidi,Fry,True
James Smith,163.95738,James,Smith,True
